date,raw_material,quantity_used,batch_yield,bioreactor_utilization
2023-11-12,ReagentY,501,448,0.86
2023-11-19,MediaA,407,352,0.86
2023-11-19,MediaB,535,473,0.85
2023-11-19,ReagentX,500,473,0.95
2023-11-19,ReagentY,590,533,0.78
2023-11-26,MediaA,556,480,0.72
2023-11-26,MediaB,533,503,0.88
2023-11-26,ReagentX,446,420,0.72
2023-11-26,ReagentY,429,401,0.71
2023-12-03,MediaA,518,461,0.89
2023-12-03,MediaB,545,517,0.74
2023-12-03,ReagentX,484,447,0.8
2023-12-03,ReagentY,458,427,0.91
2023-12-10,MediaA,497,424,0.73
2023-12-10,MediaB,548,468,0.92
2023-12-10,ReagentX,596,566,0.95
2023-12-10,ReagentY,580,526,0.88
2023-12-17,MediaA,482,421,0.81
2023-12-17,MediaB,509,445,0.77
2023-12-17,ReagentX,403,351,0.87
2023-12-17,ReagentY,431,368,0.77
2023-12-24,MediaA,438,401,0.83
2023-12-24,MediaB,517,482,0.78
2023-12-24,ReagentX,592,535,0.84
2023-12-24,ReagentY,456,414,0.82
2023-12-31,MediaA,550,509,0.86
2023-12-31,MediaB,465,432,0.93
2023-12-31,ReagentX,591,503,0.79
2023-12-31,ReagentY,497,454,0.84
2024-01-07,MediaA,578,543,0.79
2024-01-07,MediaB,565,505,0.93
2024-01-07,ReagentX,429,391,0.92
2024-01-07,ReagentY,532,494,0.81
2024-01-14,MediaA,544,489,0.76
2024-01-14,MediaB,468,443,0.82
2024-01-14,ReagentX,525,479,0.76
2024-01-14,ReagentY,514,464,0.82
2024-01-21,MediaA,479,414,0.73
2024-01-21,MediaB,407,353,0.87
2024-01-21,ReagentX,424,398,0.82
2024-01-21,ReagentY,492,466,0.85
2024-01-28,MediaA,450,384,0.74
2024-01-28,MediaB,491,434,0.71
2024-01-28,ReagentX,469,404,0.82
2024-01-28,ReagentY,489,459,0.73
2024-02-04,MediaA,444,391,0.72
2024-02-04,MediaB,446,407,0.72
2024-02-04,ReagentX,493,426,0.79
2024-02-04,ReagentY,480,421,0.9
2024-02-11,MediaA,512,465,0.95
2024-02-11,MediaB,446,395,0.82
2024-02-11,ReagentX,427,378,0.82
2024-02-11,ReagentY,508,434,0.74
2024-02-18,MediaA,514,473,0.92
2024-02-18,MediaB,506,457,0.73
2024-02-18,ReagentX,437,394,0.76
2024-02-18,ReagentY,518,459,0.71
