company_name,openfda_substance_name,openfda_pharm_class_pe,initial_posting_date,update_type,openfda_route,generic_name,openfda_rxcui,related_info_link,openfda_spl_set_id,update_date,openfda_product_type,discontinued_date,therapeutic_category,openfda_brand_name,openfda_product_ndc,openfda_manufacturer_name,openfda_spl_id,openfda_package_ndc,presentation,dosage_form,availability,openfda_nui,openfda_application_number,openfda_pharm_class_cs,openfda_generic_name,openfda_pharm_class_epc,resolved_note,status,shortage_reason,related_info,change_date,openfda_unii,package_ndc,contact_info,openfda_pharm_class_moa
"Teva Pharmaceuticals USA, Inc.","FLUTICASONE PROPIONATE, SALMETEROL XINAFOATE",,06/13/2025,New,RESPIRATORY (INHALATION),Fluticasone Propionate; Salmeterol Xinafoate Powder,"1918194, 1918199, 1918203, 1918205, 1918209, 1918211",,9c122b91-a11f-49ca-80bb-3eec5112db87,06/13/2025,HUMAN PRESCRIPTION DRUG,06/13/2025,Pulmonary/Allergy,AIRDUO RESPICLICK,"59310-805, 59310-812, 59310-822","Teva Respiratory, LLC",b597bc2d-bf1e-4f9b-826a-b3e39ed56545,"59310-805-06, 59310-805-08, 59310-812-06, 59310-812-08, 59310-822-06, 59310-822-08","AirDuo RespiClick, Powder, 55 ug; 14 ug (NDC 59310-805-06)",Powder,,,NDA208799,,FLUTICASONE PROPIONATE AND SALMETEROL,,,To Be Discontinued,,,,"O2GMZ0LF5W, 6EW8Q962A5",59310-805-06,800-545-8800,
Sintetica US,LIDOCAINE HYDROCHLORIDE ANHYDROUS,,02/22/2012,Reverified,INFILTRATION,Lidocaine Hydrochloride Injection,"1737566, 1737568, 1737570, 1737757, 1737761, 1737763",,aa3e688a-308c-4a82-a268-28ccf1677c55,08/19/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Pediatric",NA,"83090-002, 83090-001, 83090-003, 83090-004, 83090-005, 83090-006",Sintetica US LLC,0d18f291-3a92-421e-8841-6be743b1f154,"83090-001-01, 83090-001-10, 83090-002-01, 83090-002-10, 83090-003-01, 83090-003-10, 83090-004-01, 83090-004-10, 83090-005-01, 83090-005-10, 83090-006-01, 83090-006-10","Lidocaine Hydrochloride, Injection, 10 mg/1 mL (NDC 83090-002-10)",Injection,Available,,ANDA214267,,LIDOCAINE HYDROCHLORIDE,,,Current,,"Inventory available at Cardinal Health, McKesson, Cencora (FKA Amerisource Bergen). Product (LIDOCAINE HCL 1% 10X5ML)  is Preservative free.",,EC2CNF7XFP,83090-002-10,"844-425-3131, SinteticaCS@eversana.com",
Alvogen,LISDEXAMFETAMINE DIMESYLATE,,07/14/2023,Reverified,ORAL,Lisdexamfetamine Dimesylate Capsule,"854830, 854834, 854838, 854842, 854846, 854850, 1593856",,7f2dd6ee-3363-c87c-9693-ed838942556c,09/15/2025,HUMAN PRESCRIPTION DRUG,,Psychiatry,LISDEXAMFETAMINE DIMESYLATE,"47781-566, 47781-562, 47781-563, 47781-564, 47781-565, 47781-567, 47781-568",Alvogen Inc.,9114d946-92cb-c19d-c6f2-aef77294461f,"47781-562-01, 47781-563-01, 47781-564-01, 47781-565-01, 47781-566-01, 47781-567-01, 47781-568-01","Lisdexamfetamine Dimesylate, Capsule, 50 mg (NDC 47781-566-01)",Capsule,Available,,ANDA214547,,LISDEXAMFETAMINE DIMESYLATE,,,Current,,,,SJT761GEGS,47781-566-01,844-842-8672 and email: CustomerService-US@alvogen.com,
Pfizer Inc.,,,07/17/2025,New,,Pemetrexed Ditromethamine Injection,,,,07/17/2025,,07/17/2025,Oncology,,,,,,"Pemetrexed Ditromethamine, Injection, 100 mg Single Dose Vial (NDC 0409-1060-01)",Injection,,,,,,,,To Be Discontinued,,Discontinuation of the manufacture of the drug.,,,0409-1060-01,844-646-4398,
"Leadiant Biosciences, Inc.",,,08/08/2025,New,,Amphotericin B Injection,,,,08/08/2025,,08/08/2025,Anti-Infective,,,,,,"Abelcet, Injection, 5 mg/1 mL; 3.4 mg/1 mL; 1.5 mg/1 mL (NDC 57665-101-41)",Injection,,,,,,,,To Be Discontinued,,Discontinuation of the manufacture of the drug,,,57665-101-41,800-447-0169,
"Hikma Pharmaceuticals USA, Inc.",BUMETANIDE,Increased Diuresis at Loop of Henle [PE],01/31/2018,Reverified,"INTRAMUSCULAR, INTRAVENOUS",Bumetanide Injection,"282486, 1727569",,681b5e9d-e2c7-4f29-aaad-e06d4a528c11,07/23/2025,HUMAN PRESCRIPTION DRUG,,Cardiovascular,BUMETANIDE,"0641-6008, 0641-6007",Hikma Pharmaceuticals USA Inc.,99d2fc38-7e1e-4209-aa57-089794eda8a6,"0641-6007-01, 0641-6007-10, 0641-6008-01, 0641-6008-10","Bumetanide, Injection, .25 mg/1 mL (NDC 0641-6008-10)",Injection,Available,"N0000175366, N0000175590",ANDA079196,,BUMETANIDE,Loop Diuretic [EPC],,Current,,,,0Y2S3XUQ5H,0641-6008-10,800-631-2174,
Amneal Pharmaceuticals,DEXMEDETOMIDINE HYDROCHLORIDE,,04/10/2020,Reverified,INTRAVENOUS,Dexmedetomidine Hydrochloride Injection,"1718906, 1718909",,eb1ba463-ab42-4f49-9ebe-3ad5af108326,09/17/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,DEXMEDETOMIDINE HYDROCHLORIDE,"70121-1388, 70121-1389",Amneal Pharmaceuticals LLC,795f643f-855c-4ba4-9bad-a96334c1a2fb,"70121-1388-1, 70121-1388-8, 70121-1389-1, 70121-1389-7","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 70121-1388-8)",Injection,Available,,ANDA207551,,DEXMEDETOMIDINE HYDROCHLORIDE,,,Current,,,,1018WH7F9I,70121-1388-8,866-525-7270,
Torrent Pharma Inc.,"AMLODIPINE, HYDROCHLOROTHIAZIDE, OLMESARTAN MEDOXOMIL",Increased Diuresis [PE],06/13/2025,New,ORAL,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,"999967, 999986, 999991, 999996, 1000001",,85b8f9c6-aa53-4aa1-85d6-19f823d0d252,06/13/2025,HUMAN PRESCRIPTION DRUG,06/13/2025,Cardiovascular,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE 40/5/25 MG","13668-385, 13668-397, 13668-386, 13668-383, 13668-382",Torrent Pharmaceuticals Limited,5bedf6c6-6b23-40e7-8c96-2cedcc682973,"13668-397-30, 13668-397-90, 13668-397-05, 13668-386-30, 13668-386-90, 13668-386-05, 13668-385-30, 13668-385-90, 13668-385-05, 13668-383-30, 13668-383-90, 13668-383-05, 13668-382-30, 13668-382-90, 13668-382-05","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-30)",Tablet,,"N0000175359, N0000175419, M0471776, N0000000069, N0000175421, N0000175566, M0006414, N0000190114",ANDA203580,"Thiazides [CS], Dihydropyridines [CS]","OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE TABLET 40/5/25 MG","Thiazide Diuretic [EPC], Dihydropyridine Calcium Channel Blocker [EPC], Calcium Channel Blocker [EPC]",,To Be Discontinued,,A business decision was made to discontinue manufacture of the product.,,"0J48LPH2TH, 1J444QC288, 6M97XTV3HD",13668-385-30,908-280-3333,"Calcium Channel Antagonists [MoA], Cytochrome P450 3A Inhibitors [MoA]"
"Upsher-Smith Laboratories, LLC",MIDODRINE HYDROCHLORIDE,,04/28/2025,New,ORAL,Midodrine Hydrochloride Tablet,"993462, 993466, 993470",,4c3517f3-1c68-4ade-b5f1-c488a3a335c1,04/28/2025,HUMAN PRESCRIPTION DRUG,04/28/2025,Cardiovascular,MIDODRINE HYDROCHLORIDE,"0245-0212, 0245-0211, 0245-0213","Upsher-Smith laboratories, LLC",18b0b9f5-6026-479e-af12-92b0e71a9d6b,"0245-0211-11, 0245-0211-89, 0245-0211-01, 0245-0212-11, 0245-0212-89, 0245-0212-01, 0245-0213-11, 0245-0213-89, 0245-0213-01","Orvaten, Tablet, 5 mg (NDC 0245-0212-11)",Tablet,,,ANDA076725,,MIDODRINE HYDROCHLORIDE,,,To Be Discontinued,,,,59JV96YTXV,0245-0212-11,800-654-2299,
"Hikma Pharmaceuticals USA, Inc.",LORAZEPAM,,09/05/2018,Revised,"INTRAMUSCULAR, INTRAVENOUS",Lorazepam Injection,"238100, 238101, 1665188, 1665326",,e9b54e42-04cf-4c62-90e1-36f7b31a4e81,07/23/2025,HUMAN PRESCRIPTION DRUG,,Neurology,LORAZEPAM,"0641-6045, 0641-6044, 0641-6046, 0641-6047",Hikma Pharmaceuticals USA Inc.,7c73dbc6-2623-4443-9b05-97dec7a0be2e,"0641-6044-01, 0641-6044-25, 0641-6046-01, 0641-6046-10, 0641-6045-01, 0641-6045-25, 0641-6047-01, 0641-6047-10","Lorazepam, Injection, 4 mg/1 mL (NDC 0641-6045-25)",Injection,Unavailable,"N0000175694, M0002356",NDA018140,Benzodiazepines [CS],LORAZEPAM,Benzodiazepine [EPC],,Current,Regulatory delay,Shortage duration unknown,,O26FZP769L,0641-6045-25,800-631-2174,
Janssen Pharmaceuticals,METHYLPHENIDATE HYDROCHLORIDE,,07/26/2023,Reverified,ORAL,"Methylphenidate Hydrochloride Tablet, Extended Release","1091155, 1091157, 1091170, 1091172, 1091185, 1091187, 1091210, 1091212",,1a88218c-5b18-4220-8f56-526de1a276cd,09/15/2025,HUMAN PRESCRIPTION DRUG,,Psychiatry,CONCERTA,"50458-588, 50458-585, 50458-586, 50458-587","Janssen Pharmaceuticals, Inc.",23987e85-013d-3aaa-e063-6394a90a1f2d,"50458-585-01, 50458-588-01, 50458-586-01, 50458-587-01","Concerta, Tablet, Extended Release, 27 mg (NDC 50458-588-01)",Tablet,Available,,NDA021121,,METHYLPHENIDATE HYDROCHLORIDE,,,Current,,,,4B3SC438HI,50458-588-01,800-JANSSEN (1-800-526-7736) Monday through Friday from 9:00 AM to 8:00 PM ET,
"Fresenius Kabi USA, LLC","BUPIVACAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE",,02/20/2018,Reverified,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL","Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","1672917, 1672919, 1673296, 1673298, 1724880, 1724881, 1724884, 1724885, 1725078, 1725082, 1725175, 1725177, 1012391, 1012396, 1012404, 1012421, 1012455, 1012457",,"dcf3c0ad-9eb8-4ee7-96df-d0db7ff23175, eb6d8fee-def4-4c96-9972-695e8cea8ea8",09/18/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,SENSORCAINE MPF,"63323-462, 63323-464, 63323-466, 63323-465, 63323-467, 63323-460","Fresenius Kabi USA, LLC","13a48007-3784-46f2-bd4d-da1004186b81, 2b1a1f80-cb29-4ac1-9e72-20225ed45715","63323-462-03, 63323-462-38, 63323-464-09, 63323-464-39, 63323-466-09, 63323-466-39, 63323-465-01, 63323-465-57, 63323-467-01, 63323-467-57, 63323-460-01, 63323-460-37, 63323-464-02, 63323-464-37, 63323-464-03, 63323-464-31, 63323-466-01, 63323-466-37, 63323-466-02, 63323-466-31, 63323-462-04, 63323-462-17, 63323-462-01, 63323-462-37, 63323-462-02, 63323-462-31","Sensorcaine, Injection, 5 mg/1 mL; .005 mg/1 mL (NDC 63323-462-37)",Injection,Available,,NDA018304,,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,,,Current,,Check wholesalers for inventory,,"30Q7KI53AK, 7TQO7W3VT8",63323-462-37,888-386-1300,
Baxter Healthcare,KETOROLAC TROMETHAMINE,,06/06/2018,Reverified,"INTRAMUSCULAR, INTRAVENOUS",Ketorolac Tromethamine Injection,"860092, 1665459, 1665461",,4b58836d-9d58-4539-9691-9e11c505ef2a,09/23/2025,HUMAN PRESCRIPTION DRUG,,Analgesia/Addiction,KETOROLAC TROMETHAMINE,"0338-0072, 0338-0069, 0338-0076",Baxter Healthcare Corporation,2da4dd8a-1b18-481d-b733-9c031d9ea7e3,"0338-0069-10, 0338-0072-25, 0338-0076-10","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0338-0072-25)",Injection,Available,,ANDA209900,,KETOROLAC TROMETHAMINE,,,Current,,,,4EVE5946BQ,0338-0072-25,888-229-0001,
Accord Healthcare Inc.,ATROPINE SULFATE,,01/01/2020,Revised,INTRAVENOUS,Atropine Sulfate Injection,"1190546, 1190551, 1190552",,c82cb295-ffce-47d6-97ad-a8aa723f4e4f,09/16/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Neurology, Pediatric",ATROPINE SULFATE,"16729-484, 16729-483","Accord Healthcare, Inc.,",275da8b0-80b1-6c78-e063-6394a90a97a3,"16729-483-03, 16729-483-31, 16729-484-90, 16729-484-31, 16729-484-45, 16729-484-03","Atropine Sulfate, Injection, 0.1 mg/1 mL (NDC 16729-484-45)",Injection,"Unavailable, 75 days",,ANDA212868,,ATROPINE SULFATE,,,Current,Requirements related to complying with good manufacturing practices,Manufacturing in process,,03J5ZE7KA5,16729-484-45,"866-941-7875, option 2",
"Fresenius Kabi USA, LLC",DEXTROSE MONOHYDRATE,,03/01/2022,Reverified,INTRAVENOUS,Dextrose Monohydrate 10% Injection,"1795477, 1795480, 1795481",,3b8f2692-4371-4f1a-95af-b41842131fdd,09/18/2025,HUMAN PRESCRIPTION DRUG,,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",DEXTROSE,63323-824,"Fresenius Kabi USA, LLC",d4eda8d8-e374-469e-8ac0-9c9fb7a58aaf,"63323-824-24, 63323-824-74, 63323-824-25, 63323-824-75, 63323-824-26, 63323-824-76","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-75)",Injection,Unavailable,,ANDA209448,,DEXTROSE MONOHYDRATE,,,Current,Demand increase for the drug,Backordered. Next release not available at this time. Check wholesalers for inventory.,,LX22YL083G,63323-824-75,888-386-1300,
"Boehringer Ingelheim Pharmaceuticals, Inc.",,,01/06/2025,New,,Adalimumab-adbm Injection,"797544, 2640883, 2640891, 2640893, 2640895, 2640900, 2640902, 2680743, 2680748, 2680756, 2680759",,62f39a7c-00df-4519-a8d4-39bbd0a649ed,01/06/2025,HUMAN PRESCRIPTION DRUG,01/06/2025,Rheumatology,ADALIMUMAB-ADBM,"0597-0575, 0597-0595, 0597-0555, 0597-0585, 0597-0545, 0597-0565","Boehringer Ingelheim Pharmaceuticals, Inc.",79fdef1e-7f86-429d-bc7d-2e99f286204b,"0597-0595-20, 0597-0590-26, 0597-0555-80, 0597-0550-06, 0597-0585-89, 0597-0580-37, 0597-0545-22, 0597-0545-44, 0597-0545-66, 0597-0540-10, 0597-0575-50, 0597-0575-40, 0597-0575-60, 0597-0570-32, 0597-0565-20, 0597-0560-12","Cyltezo, Injection, Kit (NDC 0597-0575-40)",Injection,,,BLA761058,,ADALIMUMAB-ADBM,,,To Be Discontinued,,,,,0597-0575-40,800-243-0127,
"Fresenius Kabi USA, LLC",ROCURONIUM BROMIDE,,02/15/2023,Reverified,INTRAVENOUS,Rocuronium Bromide Injection,1234995,,"f1933332-1ae0-4dc1-be4c-694849e6c9f9, fb9524b2-c353-4747-8954-7ca2529eabb2",09/18/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,ROCURONIUM,63323-426,"Fresenius Kabi USA, LLC","d6e2ff8d-838d-4c27-8e73-230548b09d63, 3f4d5e11-2c14-4406-8954-04dba2fc65ff","63323-426-02, 63323-426-05, 63323-426-01, 63323-426-10, 63323-426-12, 63323-426-15","Rocuronium Bromide, Injection, 10 mg/1 mL (NDC 63323-426-10)",Injection,Unavailable,,ANDA078651,,ROCURONIUM BROMIDE,,,Current,Delay in shipping of the drug,Backordered. Next release October 2025. Check wholesaers for inventory.,,I65MW4OFHZ,63323-426-10,888-386-1300,
